unique_employee_ids,stillExists,companyAlias,is_train,vote_cnt,vote_avg,vote_std,vote_p50,vote_p75,votes_monday_cnt,votes_monday_avg,votes_monday_std,votes_monday_p50,votes_monday_p75,votes_friday_cnt,votes_friday_avg,votes_friday_std,votes_friday_p50,votes_friday_p75,acpt_likes_cnt,acpt_likes_avg,acpt_likes_std,acpt_likes_p50,acpt_likes_p75,acpt_dislikes_cnt,acpt_dislikes_avg,acpt_dislikes_std,acpt_dislikes_p50,acpt_dislikes_p75,len_txt_cnt,len_txt_avg,len_txt_std,len_txt_p50,len_txt_p75,comment_weekend_cnt,comment_weekday_cnt,comment_morning_cnt,comment_night_cnt,comment_lunch_cnt,gv_liked_cnt,gv_disliked_cnt,reaction_cnt,turn_over_rate,vote_company_cnt,vote_company_avg,vote_company_std,vote_company_p50,vote_company_p75,comment_per_emp_avg,comment_len_per_emp_avg,comment_per_emp_p50,comment_len_per_emp_p50,gv_liked_per_emp_avg,gv_disliked_per_emp_avg,gv_liked_per_emp_p50,gv_disliked_per_emp_p50
6_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,63.0,3.380952380952381,1.0690449676496976,4.0,4.0,11.0,3.727272727272727,0.9045340337332909,4.0,4.0,12.0,3.5,1.0,4.0,4.0,60.0,10.633333333333333,10.546051822343186,7.0,13.0,42.0,10.047619047619047,10.03154142996438,7.0,13.0,62.0,133.16129032258064,130.93737629028305,91.0,169.5,0.0,62.0,18.0,0.0,30.0,100.0,2.0,102.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
518_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,56.0,3.0714285714285716,0.2598700974188212,3.0,3.0,9.0,3.0,0.0,3.0,3.0,8.0,3.25,0.46291004988627565,3.0,3.25,,,,,,,,,,,,,,,,,,,,,6.0,2.0,8.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
7_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,53.0,3.660377358490566,0.7830756969602691,4.0,4.0,7.0,3.7142857142857144,0.7559289460184544,4.0,4.0,15.0,4.0,0.0,4.0,4.0,32.0,5.0625,3.893232341450498,4.5,5.0,26.0,5.538461538461538,4.1687481980159875,5.0,5.0,32.0,85.375,53.10109044503336,82.5,111.25,0.0,32.0,10.0,0.0,4.0,84.0,8.0,92.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
8_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,29.0,3.586206896551724,0.6277648205743445,4.0,4.0,6.0,3.3333333333333335,0.5163977794943222,3.0,3.75,7.0,3.7142857142857144,0.7559289460184544,4.0,4.0,10.0,6.2,5.138093031466052,4.0,11.0,0.0,,,,,10.0,75.0,53.34166601572671,44.0,114.0,0.0,10.0,6.0,0.0,2.0,14.0,2.0,16.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
520_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,22.0,3.6363636363636362,0.657951694959769,4.0,4.0,4.0,3.75,0.5,4.0,4.0,4.0,4.0,0.0,4.0,4.0,6.0,11.666666666666666,8.959166627910582,8.0,19.25,4.0,6.0,2.309401076758503,6.0,8.0,6.0,111.0,97.70158647637203,69.0,193.5,0.0,6.0,0.0,4.0,0.0,2.0,0.0,2.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
9_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,3.0,4.0,0.0,4.0,4.0,1.0,4.0,,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
10_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,56.0,3.482142857142857,0.6027534224802781,4.0,4.0,15.0,3.466666666666667,0.7432233529572065,4.0,4.0,13.0,3.6153846153846154,0.5063696835418333,4.0,4.0,4.0,4.0,1.1547005383792515,4.0,5.0,4.0,1.5,1.7320508075688772,1.5,3.0,6.0,86.33333333333333,10.44349877515513,84.0,95.25,0.0,6.0,0.0,0.0,2.0,29.0,6.0,35.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
11_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,11.0,3.4545454545454546,0.5222329678670935,3.0,4.0,4.0,3.5,0.5773502691896257,3.5,4.0,3.0,3.3333333333333335,0.5773502691896258,3.0,3.5,18.0,4.555555555555555,4.755457820753677,3.0,4.0,4.0,9.5,8.660254037844387,9.5,17.0,18.0,37.77777777777778,51.70454019836346,24.0,33.0,0.0,18.0,2.0,0.0,6.0,23.0,2.0,25.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
523_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,18.0,2.7222222222222223,1.127493605332358,3.0,4.0,3.0,2.6666666666666665,1.5275252316519465,3.0,3.5,5.0,2.6,1.140175425099138,3.0,3.0,14.0,5.857142857142857,4.129763317061288,5.0,7.5,10.0,5.0,2.4037008503093262,5.0,6.0,14.0,48.285714285714285,22.781330316489665,49.0,51.75,0.0,14.0,4.0,2.0,2.0,3.0,1.0,4.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
12_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,69.0,3.36231884057971,1.0567850036334347,4.0,4.0,14.0,2.5714285714285716,1.2838814775327387,2.5,4.0,14.0,3.9285714285714284,0.26726124191242434,4.0,4.0,44.0,5.5,4.04336953657495,6.0,8.0,28.0,4.5,4.533823502911814,2.5,7.0,58.0,85.27586206896552,128.36677073211416,26.0,77.0,0.0,58.0,36.0,0.0,8.0,67.0,29.0,96.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
13_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,76.0,2.5921052631578947,0.9406045088693032,3.0,3.0,24.0,2.125,0.9469631093315001,2.0,3.0,10.0,2.9,1.1972189997378648,3.0,4.0,86.0,6.976744186046512,4.264702580309114,6.0,9.0,58.0,5.9655172413793105,3.2496451479225876,5.0,8.0,86.0,66.27906976744185,40.85401590535593,56.0,78.5,0.0,86.0,22.0,0.0,34.0,244.0,57.0,301.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
16_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,90.0,3.411111111111111,1.1207385651149115,4.0,4.0,18.0,3.4444444444444446,1.0966377611066322,4.0,4.0,17.0,3.6470588235294117,0.8617697249402124,4.0,4.0,144.0,9.458333333333334,6.18352763283338,8.0,12.0,86.0,8.627906976744185,5.055099956253631,7.0,11.0,146.0,132.06849315068493,99.07048396760668,112.0,177.0,0.0,146.0,46.0,0.0,38.0,206.0,46.0,252.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
17_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,6.0,3.5,0.5477225575051661,3.5,4.0,1.0,3.0,,3.0,3.0,1.0,3.0,,3.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,,,,,2.0,37.0,0.0,37.0,37.0,0.0,2.0,0.0,0.0,0.0,,,,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
529_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,27.0,4.0,0.0,4.0,4.0,6.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
18_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,170.0,2.9058823529411764,0.992558458615702,3.0,4.0,36.0,2.611111111111111,1.0764432909959347,3.0,3.25,32.0,3.125,1.0395408415691623,3.0,4.0,236.0,5.686440677966102,4.6707767863552725,4.0,8.0,152.0,5.184210526315789,4.51255944560148,4.0,8.0,264.0,91.65151515151516,99.00877441996873,50.0,120.75,6.0,258.0,106.0,18.0,64.0,745.0,88.0,833.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
19_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,100.0,2.68,0.8975837374064694,3.0,3.0,18.0,2.2777777777777777,0.8947924869885988,2.0,3.0,19.0,3.526315789473684,0.6117752903214979,4.0,4.0,198.0,7.545454545454546,5.8375169035683525,6.0,10.75,132.0,8.712121212121213,6.27795160718383,6.0,13.0,200.0,183.96,146.50672168022678,133.5,241.25,0.0,200.0,16.0,0.0,44.0,969.0,150.0,1119.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
531_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,19.0,3.5789473684210527,0.507257273501788,4.0,4.0,3.0,3.0,0.0,3.0,3.0,4.0,3.75,0.5,4.0,4.0,8.0,10.75,5.1478150704935,8.5,11.5,2.0,9.0,0.0,9.0,9.0,8.0,60.75,44.13858046782073,48.0,69.75,0.0,8.0,2.0,0.0,2.0,27.0,1.0,28.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
