col_name,feature_importance_vals
turn_over_rate,0.9887554049491882
vote_avg,0.7294454574584961
reaction_cnt,0.5101948976516724
len_txt_avg,0.3543509542942047
vote_company_cnt,0.09037403017282486
vote_company_std,0.08172620087862015
gv_liked_per_emp_p50,0.07784607261419296
vote_std,0.06842175126075745
acpt_likes_avg,0.0674302726984024
len_txt_p75,0.053861819207668304
gv_disliked_per_emp_avg,0.04933822900056839
comment_len_per_emp_avg,0.04922487586736679
votes_monday_std,0.0486719124019146
vote_cnt,0.04174172133207321
comment_morning_cnt,0.03799908235669136
gv_disliked_cnt,0.03774920105934143
gv_liked_cnt,0.03130913898348808
votes_friday_p75,0.029244553297758102
comment_per_emp_avg,0.029176907613873482
votes_friday_avg,0.027474503964185715
votes_monday_avg,0.017453212291002274
acpt_dislikes_avg,0.015763558447360992
comment_weekday_cnt,0.015060926787555218
vote_company_avg,0.014277927577495575
votes_friday_std,0.013769243843853474
votes_monday_cnt,0.010900829918682575
votes_monday_p50,0.010776806622743607
acpt_dislikes_cnt,0.010374566540122032
len_txt_cnt,0.010341187007725239
acpt_dislikes_p50,0.008634435944259167
acpt_likes_std,0.008573115803301334
acpt_likes_cnt,0.007984335534274578
comment_len_per_emp_p50,0.007266557309776545
comment_night_cnt,0.0067145610228180885
votes_friday_cnt,0.006650119088590145
len_txt_p50,0.006512362044304609
votes_monday_p75,0.00445669237524271
acpt_dislikes_std,0.004349048249423504
comment_weekend_cnt,0.004276215098798275
len_txt_std,0.0039040548726916313
comment_per_emp_p50,0.0034776264801621437
votes_friday_p50,0.003152584657073021
acpt_dislikes_p75,0.003085426753386855
comment_lunch_cnt,0.0023017176426947117
acpt_likes_p75,0.0021023640874773264
vote_p50,0.0015409747138619423
vote_p75,0.0015131871914491057
acpt_likes_p50,0.000700838107150048
gv_liked_per_emp_avg,0.0005065509467385709
vote_company_p75,0.0004596280923578888
vote_company_p50,0.0
gv_disliked_per_emp_p50,0.0
