col_name,feature_importance_vals
vote_p50,0.13735013230113177
turn_over_rate,0.11074063322837192
reaction_cnt,0.07974892851221606
len_txt_avg,0.025293000644764335
vote_cnt,0.014891283091428686
vote_std,0.014215659603753145
gv_disliked_per_emp_avg,0.012809852212921843
votes_monday_std,0.011568993522783228
vote_company_cnt,0.011318391410283896
acpt_likes_avg,0.01046515345940484
vote_avg,0.010215799780899268
len_txt_p50,0.009618281405448672
gv_liked_cnt,0.009091066891609677
votes_friday_avg,0.008809314238319427
votes_friday_p75,0.00828574511646707
votes_monday_avg,0.008260656086402867
votes_friday_std,0.007689644313921763
vote_company_avg,0.007539173323592921
comment_weekday_cnt,0.006668487756569749
comment_morning_cnt,0.006425823529845894
gv_disliked_cnt,0.005979066036220089
gv_liked_per_emp_p50,0.005705987853444393
votes_monday_cnt,0.0056798912524258695
len_txt_cnt,0.005250209792281537
acpt_dislikes_p50,0.00515512767050475
acpt_dislikes_cnt,0.004339248047539719
votes_monday_p50,0.004323718715275154
acpt_likes_std,0.003496680293571066
acpt_dislikes_p75,0.00304421195806815
votes_friday_cnt,0.0030023712955703904
votes_friday_p50,0.002940460075299169
votes_monday_p75,0.002902540486691242
comment_len_per_emp_avg,0.002797313247934914
vote_p75,0.0026475700800152923
comment_night_cnt,0.002335766153450397
comment_lunch_cnt,0.002135915326437126
len_txt_p75,0.0018553020458122662
acpt_likes_p75,0.0016007097088791315
comment_per_emp_avg,0.001347305345551234
gv_liked_per_emp_avg,0.0012609269285050342
acpt_dislikes_avg,0.001220794676803668
comment_len_per_emp_p50,0.0012013071294756056
acpt_likes_cnt,0.0010665824139039085
gv_disliked_per_emp_p50,0.0009492078142817434
acpt_dislikes_std,0.0008869510689784975
comment_per_emp_p50,0.0008388180946578412
vote_company_p75,0.0007737232445336862
vote_company_p50,0.0007057384852915293
acpt_likes_p50,0.0006892930763435647
comment_weekend_cnt,0.0006733316813026539
vote_company_std,0.0002692444219199113
len_txt_std,0.0
