col_name,feature_importance_vals
turn_over_rate,0.041818235318421736
vote_p50,0.02846575969901733
vote_p75,0.026016181390902476
vote_cnt,0.024306582715594188
reaction_cnt,0.021858002199608293
gv_liked_cnt,0.019073602243214943
vote_avg,0.018017132431087712
vote_company_std,0.015250904444504582
vote_company_cnt,0.013662626485474475
len_txt_cnt,0.011673300396926208
len_txt_p75,0.011545738682284095
len_txt_p50,0.011310513847197258
votes_monday_p75,0.010144423341610241
len_txt_avg,0.009415285163719115
gv_disliked_per_emp_avg,0.006874895343663141
votes_monday_p50,0.0060656268929835345
votes_monday_cnt,0.005664581627838452
votes_monday_avg,0.005517505689466165
gv_disliked_cnt,0.004634105296648605
comment_weekday_cnt,0.0041369853700242215
acpt_likes_avg,0.004060965560849665
votes_friday_cnt,0.0038470402111721257
comment_per_emp_p50,0.003776796364647123
vote_company_avg,0.003772056514506702
comment_len_per_emp_p50,0.003608136763161153
votes_friday_avg,0.003402995210430717
acpt_likes_cnt,0.003129579118979676
gv_liked_per_emp_avg,0.0028210049057189757
comment_len_per_emp_avg,0.002666833315608255
gv_liked_per_emp_p50,0.002497196568660723
acpt_likes_p50,0.002362341801881235
votes_friday_p50,0.0022511407415021175
gv_disliked_per_emp_p50,0.002249998180849767
votes_friday_p75,0.0020586087862934253
vote_std,0.0019777516002413287
acpt_likes_p75,0.0017988822627375623
len_txt_std,0.0014041106218403907
acpt_dislikes_cnt,0.0013980111457530583
comment_per_emp_avg,0.0011111549704131715
votes_monday_std,0.0009341537733471765
acpt_likes_std,0.000785710082749806
votes_friday_std,0.0005099265825410822
acpt_dislikes_avg,0.0003559989628836336
comment_night_cnt,0.00032593561205075726
comment_lunch_cnt,0.0002993028441834498
vote_company_p75,0.00026927652737507074
acpt_dislikes_p50,0.0002544882809272244
acpt_dislikes_p75,0.0002072526873661453
acpt_dislikes_std,0.0001599928561448651
comment_weekend_cnt,0.00012894432196846402
vote_company_p50,9.622994212475271e-05
comment_morning_cnt,5.475758495866466e-05
